token_address,receiver,amount
,0xefb73e47099485c72b7678cb59fb0da7dacf173f,4375666.641980935302574987
,0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,3805513.7463410950431754
,0xb2960e11b253c107f973cd778bbe1520e35e8602,3001094.145590614985844066
,0xacc87388e55ff12bea590c5608069a90d3f1606a,2348724.08307569356283217
,0x74cafa4ef28da1410e1de6f431b009367945df66,1881559.158053943020661086
,0x9f8d9c183150f15ffba39b7b17c3e1a78e5e5478,1537014.463409064695113276
,0xf4b88608ba19df20815015df57acc9328f1ee2f3,1432098.10525608832851096
,0x87f0c169d8acc432acdb5e7d0907322c80ec6621,1272935.569573363056623517
,0x4295e87fb5113c85720298d73e4760c240ca41fa,998130.835706210170410902
,0x083b2eb2b3fe204492d196c70bbc8fb6dc3bdd6e,840506.387172397925282279
,0x17863f9473ce423ba00c9a3b13be3af48b93f531,831655.058094400930005817
,0x7eb4e60a9f84db52a024232dd32cc5608dbf5556,820165.685703945126367265
,0x12d529cfa26891cdf1d25453f9851c73e2720373,685931.201929108156485992
,0x1472dcfde6312b9306be95ac98cd59a4e1f39b72,619409.036307968769176154
,0xebd9a48ed1128375eb4383ed4d53478b4fd85a8d,583005.855918899712311203
,0x1be8ce85d5763e67b37a0817fd99a33ce9b83800,566371.765314392752710286
,0x8245744bf4b6b158b4ee1795d5ac6aa55a99b9cb,551189.599010801116678675
,0x5a25fed1d5400142435d7ccd80a0d54a71ac835f,532680.316638550106525078
,0x3e25247cff03f99a7d83b28f207112234fee73a6,488174.015299301581144432
,0xad0cbb2a5fd04f4c526a32b9dc7859bb479035c2,434290.291717541409239229
,0x0befd7ecaf8038737438832643f0e51df7abf1e4,407797.010423221041651522
,0x254fb3a427d0168dae92b2782274b53595bca712,348946.863674852487078178
,0x513921f8bef694c7a2957e9a368e3098b179a614,318059.224910887481134836
,0x34b0b1e9e42721e9e4a3d38a558eb0155a588340,315288.701034579257707398
,0xec1d823af449b27f3e6fce58049d20b8e1c84fa5,283479.452203318270334397
,0x2823fd42b4603f1428173b544c3ee81409f9f82a,261438.57269307896531617
,0xf40373645796acc12849b77767cf444380df548a,250151.475903178843202237
,0xe8a1d8068d15aba5927d29282d6476b7978ed0c1,218292.145475167846190863
,0x38f046ae944021351ce5c2486dee3027c949858f,217744.012997522078549633
,0xd4dc3eb21c9ec200ef82c825fbf86188c1a6c03c,212151.664413561442990206
,0xc5f04d5d55065f3e34945a59ee0c7eb2656aa07c,208088.640087417272608071
,0x73db0f38391583c9f4786f7a317afab23b6749f7,202813.089481166563138483
,0x2d80e2a0e3ffdac600e29b04f321eeafa5dadbc7,175168.40588138899281069
,0x7302333e1d5d4e14cf0ed162d5f5796634616dc2,164972.163562631704748786
,0x6ab5d3e5069326ff4601e77c3651f0c216d7e036,163714.367316291529363568
,0x7eef076bc5c57afd42ac3cbf3e29b13a7baf4cac,155227.412217541669848642
,0xacfa39b864e42d1bd3792783a571d2958af0bf1f,146927.300663570766332634
,0xcfc49d2515ea12a059ab4b0f9f53bb2fc731a536,145628.783301675487572461
,0xbff1e53b23d9f5cd13429cd4bacbc017589f51eb,134607.162879683876386598
,0xb7e88e1635ea56b6a404cb4e97cf4fa6c40dcbeb,129748.514010023759057477
,0xb8d018bf6acf616f8e3e5c8d9c213fe509dc9218,128708.335896311508818835
,0x4de51875c1a58799a0de58fc1049e9c4a83d7ad0,122840.037654510346527035
,0x06052679e8ec2017a6b8e9563a47e73149aeedac,122416.031120264783862916
,0xe784d95cbda57cc9a339a9259aba525a8bacfc68,119832.952245274452988697
,0xd5f4940704eb4ce5e4b51877d49b58a3e93531b6,115914.591250612865082909
,0xeb965ad19588f48f805465d25c6ae0aa60a46398,113402.364626911763634503
,0xa9a5b82e921b057251833cbdeaa715dbea444480,112409.436839022766140711
,0xc7f796260f5b7c747cac5e5a223c9d82354083b1,109850.699747736879508383
,0xd067bbf6d1f72657716f27135945c8bb78883605,103551.0417738545385246
,0xb5540caf9cce89b7da1f26a4cf54cff48853ae00,103017.250211740919001391
,0xe178ae2ee58f7c85fee8354b1272c5e6ffc41161,101224.827033485184471907
,0xa789023d50e20880d795810bdf64ee44b8a4d5d8,98444.080582372603323159
,0x3aff35381ab14e39e36273bcefb42deec1072440,90512.707530572520724445
,0x935b8dfef9bda7866a6f3de2f7cf5c24796f08f3,88659.402917245559457877
,0x0c6e81a918328f117bec04cf98562a98af18e2dc,87666.026404882437635103
,0xe45fd7bef2736dad2d5620052ca37a9603376aea,87084.507657332344210165
,0x8f49a10fcacd7cd22257b9fd358bcab2cb3cffdc,75641.01313236530282605
,0x577d2186e4693546b46dcee5f4ae89724fcc4f0c,74168.6910367737801993
,0x9ca18d6146551145f08d298ad3aee517bef05266,72707.068348217882257845
,0x833f85f3d37d0099f896e19080d713857d2f36bc,71264.691540778989222394
,0xd891ce6a97b4f01a8b9b36d0298aa3631fe2eef5,69356.62273721467971429
,0xf381896eb9280dcb2099523149d42f7b1ed43e9a,69231.481207322902121897
,0xc1c8f6ef43b39c279417e361969d535f2a20b92e,68881.063003656429695355
,0x77a2c57efb34c05306f3079b1add383920794727,66522.450326685260538624
,0x726277fa11635f0d50fd36e021219b4660225fb9,63742.795710010048470741
,0xba5e692e6dd69a3dece374c7c16397e93b46cb33,62036.384450564312100812
,0x3dd379b5e13c62895da2cea7c0f6716cd8cfec87,59351.289404091759790213
,0x7ae2a0914db8bfbdad538b0eac3fa473a0e07843,57191.160661439763491952
,0x184af8c1a4d19e39a46e1203360e340b8764ef78,56763.368972012698546851
,0xbafaba26d84f48f6e60af5f71ec747b864efd53c,55842.120009073961720474
,0x9f1a5aab55d62d37773a4e6543fd9b25ddcf9f78,51586.467337881258326048
,0xf2a758814427b1ec04062da771d151bf4d6e7cce,43363.161269881947029161
,0xf350d955a0d4a4e0de39978a5a8b838466961e60,42392.975560124148596501
,0x894b4b15d1c784e19825f4ddaaf9f339b957b6bd,42023.661947648868521773
,0x82373ccc6ed8ced89293307efdcf31b73b8c49c8,40581.29892554427743304
,0xba70e3c0b49e8588a40d504196afbfc6bff195a3,40528.964660135667639474
,0xb4a488b072b9d75909d7a7c42da8e03e43e40ac3,40495.441564677112495569
,0xf1670877bb06df4f0d74d50153dc4e4ed83c46ed,40374.165690567234667308
,0x9c8957c3edddda379c7cf4f3c2a487eb1b0f6467,38016.381149199391709598
,0x310eb062f52120e18f2a096e7e9ec07c8116be25,35275.565667187984490746
,0x05e0375b33aef6a5bc6c02f52e02f62aadc586fe,34737.419690863335955504
,0xc3a3fabebdd09e2215b2d2c9fb19f6ff4dcb3f25,33069.380715718687370982
,0x75d56b0103ea3b596d344e153cc89012af3bd22a,32126.644603195549889638
,0x784247c21ef75d84e60a22508a4da9b1365de43d,30902.597604998269577127
,0x3aab6779d50181ce73a1fe5b2f545a09eb70eec8,30788.667108529526716562
,0x12ac25cc6d2cce3a89abc344c8350aca491a1e42,30549.868316785856047211
,0x7485a5dad2a8945e73f25af804c83966abaf9edf,30265.283481787843505188
,0x00205fdac4d4887de33df1ad324f65e8277508a1,30000.279084264023665573
,0xfa48d48d4d4c2a73f48b1effd7e6ad1ff7134f29,29256.062765410552565003
,0xad925294b99b3866ed23d8fdde00a6a325a35217,27540.891756086541909118
,0x3a5de821111d89c3ad52bf473b70e675766231b6,25783.545031249004170562
,0x6328e811a291b6424a0c858526d46fff7c46d647,25121.487457230049386522
,0x47f4304824568d257bb40fd7ea6839f8abd5f60c,24082.231736132182829727
,0x4160478bb15e98815697298e114ff79aa76d002d,24026.643583642156686886
,0xeb7e82a67cdfa3e742e0f3315fd4eed7b05730cc,23971.749752947985972167
,0xbf37c7794668caa0bc9741475cccf74153e3e022,23818.594148355245527259
,0x1b00cccc5483975b1b9abe574bf15a193fbfe773,23220.683285294114007538
,0x1d685424dd0807dfdfebd7f887b855a875e118f2,22860.770161544363060877
,0x85ddb6f86de3584a51bcceea3935840339afead4,22509.586624898503399642
,0xba523caad6579b4eed49e70049b53e8928e79d52,21942.979477265610692791
,0xbf04dbfcacad75e89e78fa0ca2d0a9c4a176bf00,20660.585315169938308756
,0x1e100888d61d332becea0cd22d97fa3d5362c1a5,19182.147833558638695637
,0x32a7ec05a26897e1e162bce792d07934847bea5a,18345.779807200997546555
,0xe0c73fb826f824e31b3235fe2665e18247fccd88,17580.189305446804541725
,0xba9dca6d3b35fc924e942f18df422d331cdade6f,17423.433983985368204592
,0x21b7b075ed133a7f3faf10698bdc6613998c4180,16610.950144206578684456
,0x217b3b614349e8d01c5a0b3e6132451c58eef740,15247.153090833475678594
,0x61fd367a11f9b1535897e91c065e7a264c5ee6e3,15242.727861709586524033
